Português,Tupi Antigo
Fazendo-me mudar de direção por aí,Kûeîbo nhẽ xe rerobaka
"Reritiba, minha terra, dela venho aqui","Rerityba, xe retama, i xuí xe ruri ké"
"ponta de topete, pontinha aguda de cabelo que alguns têm na testa",Tetobapy-apûá
tomou o pão em suas mãos,miapé rari o pópe
Não trouxe nenhum parati,Nd'aruri amõ parati
Sei fazê-lo,A'ekatu sesé
Junto de si mesmo ninguém lhes dá de comer,O pyri abá n'omomba'e'uî
Vós sois avaros com ele,Pe rekate'ym sesé
Eu sou arredio,Xe îeîaî
Que cheguemos ao alto,Ybaté t'orobasẽ
"o que é totalmente conhecido, coisa notória por fama",i kugûabypypabẽ
"De fato, quiseste matar mesmo o bondoso São Lourenço","Supi é, ereîuká-potar é São Lourenço-angaturama"
Dia muito bom surgiu para nós hoje,Arangaturameté o'a îandébo kori
Onde deixou os outros?,Umãmepe amoaé reîari?
"Em dois dias e no tempo de se fazer o terceiro, voltou a viver",Ara mokõî i momosapysaba pupé o ekobeîebyri
Que disse a mulher que guardava a porta a São Pedro?,Marã e'ipe kunhã okena rerekoara S Pedro supé?
protetora dos aflitos,moreaûsuba rerekoara
Ias ali para ouvir a missa,"A'epe missa rendupa, eresó"
"Estando doente, de verdade, não a ouviste, ou sendo preguiçoso?",Nde mba'easyramo épe nd'eresendubi koîpó nde ate'ymamo nhẽ?
Conhecendo a morte ainda em sua primeira infância,O pitangĩ pupé bé te'õ kuapa
cabelo desgrenhado,a-bebó
Eu sou liberal,Xe mosakar
Sou um novato,Aîkó pysasuramo
"Esse é meu antigo enforcador, uma taturana, um tamanduá","Akó xe îubykarûera, tataûrana, tamandûá !"
Sob tuas mãos estamos,Nde pó gûyrype oroîkó
Mexi-as,Aîapamonan
Em que situações a gente reza para ele?,Mba'e-mba'eremepe asé îeruréû i xupé?
Que habitante do mundo há como tu?,Abápe 'ara pora oîkó nde îabé?
Importuna-me bem aquela lei nova,Xe moaîu-marangatu aîpó tekó-pysasu
Não doutro modo eles me combaterão,Na marandé ruã i pokoki xe rine
Creio na vida que não acabará,Arobîar tekobé opaba'erame'yma
colher de madeira,ybyrá pesẽ
cerca da aldeia,taba pîasaba
Capim às pressas colocando,Kapi'ĩ anhẽ rerupa
Fulano está muito atrás de mim,Xe resé-katu ahẽ rekóû
Matei já os tupis,Aîuká umûã tupi
"Comeu aquele fruto, causa de morte?","O'u nhẽpe a'e 'ybá, tegûama?"
marca antiga de pedrada,itá-porûera
"Sua mãe, cobrindo-o bem, defende-o do frio","I xy, i aso'ikatûabo, oîopîá ro'y suí"
Hei de viver assim,Emonã takó aîkó
Minhas palavras somente cumprirás,Xe nhe'enga nhõ ereîporaká
Arranco lenha,Aîepe'abar
Quero muito mesmo todas as aldeias destruir,Aîpotá-katutenhẽ opabĩ taba mondyka
"Não parece bem fazer ele a defesa da morte fora de Jesus Cristo, mas faz sentido que sua morte fosse a finalidade com que seu Pai o fez viver","N'i aîarõî Îesu Cristo taté é te'õ suí i îepirapûana, tuba i moingoaba se'õ a'e i aîarõ"
pele imunda,piryty
Sou feito,Aîemonhang
"O cauim está pela metade da vasilha, somente",Kamusi ku'a rupi nhote kaûĩ reni
"mulher bondosa, não tocada por homem",kunhã-angaturama abá bykagûere'yma
À direita de Jesus tu somente estás,Îesu 'ekatuápe nde nhõ ereîmbé
Faço roça,Akopir
Narrar as coisas segundo o modo em que Deus o instruiu,Tupã o motekokuapaba rupi mba'e mombe'u
À direita de Jesus somente tu estás,Îesu 'ekatûápe nde nhõ ereimbé
"Excitaste-o, querendo ejacular teu sêmen?",Ereîkapyrokype nde ra'y-pupuka potá?
Embarco contigo,A'ar nde pupé
"Contaste o mau procedimento de alguém, que somente tu viste, para as pessoas?",Ereîmombe'upe abá rekopoxŷagûera oîepebẽ nde remiepîakûera abá supé?
Não queiras nem um pouquinho que eu vá para o fogo,Eîpotá-mirĩ umẽ tatápe xe soaûama
Nossos cadáveres levantar-se-ão todos?,Asé re'õmbûera pu'am-pabine?
"Que venha, por teus pedidos, Deus para nos fazer felizes","T'oú, nde îeruresápe, Tupã oré moorypa"
mais de vinte,vinte sosé
Com uma lança espetou seu flanco,Itamina pupé iî yké kutuki
"Vamos, devagar, para queimar a terra dos malditos","T'îasó, mbegûé t'ixapy moxy retama"
o que se batiza,oîasukyba'e
Depressa haja minha comida!,Keremẽ xe remi'u rekoaba!
"São um único e mesmo Deus esse Deus-Pai, Deus-Filho e Deus-Espírito Santo?","Oîepé Tupã memẽpe a'e Tupã-Tuba, Tupã-Ta'yra, Tupã-Espírito Santo?"
Untei as penas nele,Asá-mongy
"o que é circuncidado, o que tem o prepúcio cortado",i 'amopikytĩpyra
Cingi-me,Aîeku'apûar
Castrei-o,Asapi'a'yĩ'ok
Eu estou menstruada,Xe rugûy
Que esteja tudo o que está na terra segundo a tua vontade,T'oîkó pabẽ ybypesûara nde remimotara rupi
"A dança é que é boa, enfeitar-se, pintar-se de vermelho","Moraseîa é i katu, îegûaka, îemopyranga"
"Embora eles tenham igrejas, a todos arruinei",I tupãok îepé aîmomoxy pabenhẽ
"dali, daquela parte",akûea suí
"Aqui os homens estão, na verdade, para me ficar ameaçando",Ké abá rekóû anhẽ xe renopu'ã-pu'ama
"Eis que aqui estou, o que vos enxota",Aîkobé pe mondoarama
Arrancando nossos vícios,Oré rekopoxy 'oka
"Tão logo indo eu, ele veio",Xe só abé turi
Estou sendo um tanto arrogante,Aîerobîá-pyryb gûitekóbo
Somos desiguais um do outro,Oroîoaby
Ele é fundo,Typy
Eis que estas tuas futuras presas são muitas,Aîpó kó nde rembiarama setá
"Não há ali choro, não há doença, não há fome, sede também não há","N'i tybi a'epe îase'o, mba'easy n'i tybi, n'i tybi ambyasy, 'useîa bé n'i tybi"
"Eis que eu amo vossas almas, modificando os costumes antigos",Xe ikó asaûsu pe 'anga tekopûera rekoaboka
"outro dia, já não agora",karamosé é
Foste traidor de tua esposa?,Eremondarõpe nde remirekó suí?
"de fora, do lado da rua",okara koty
Eu sou curvadinho,Xe aparĩ
beco ou rua estreita,onhoba'ũ-mirĩ
Estou-me sentando,Agûapyk gûitena
Eu sou travesso,Xe resakûé-kûé
Fico fazendo mimos,Anhemopoîá-poîaî
Querendo ser servo de Deus somente,Tupã boîáramo nhõ oîkó-potá
palavras vãs,nhe'ẽ-tenhẽa
Passou a aflição,I pûer tekoaíba
"Querendo que ele entre para junto de vós mesmos, lançai fora vossas maldades","Pe îoupé seîké potá, peîtyk pe angaîpaba"
Ele o faz em muito tempo,E'i ymuanĩ ahẽ i monhanga
"Ah, mas como me importuna o fedor dele!",Xe moaîu-te i nema mã!
o que é louvado,i mombe'uporangymbyra
"o forte, o bravo",tatã
Como criança está sentado nos braços de Maria,Pitangamo seni Maria îybápe
"Hei de ir junto de ti, hoje, para comer aqueles reis","T'asó nde pyri, kori, aîpó tubixaba gûabo"
"Eu, Tatapitera, assim como meu grande fogo, inflamo os antigos ódios","Xe, Tatapytera, xe tatagûasu îabé, asapy nhemoŷrõmbûera"
Aquentam-me,Xe pé
o bom do Pedro,Pero angaba
"Jesus, senhor da virtude","Îesu, tekokatu îara"
"Quiseste embebedar-te outrora, impregnando-te de cauim?",Eresabeypó-potarype erimba'e kaûĩ pupé enhemomungábo?
Desejando ardentemente ver tua face,Nde robá repîaka'upa
Tocam na cabeça da gente,Opokok asé akanga resé
"Vai, por acaso?",Osó nipó?
"possivelmente, provavelmente",emonã ipó re'a
Catorze são aquelas coisas em que creremos,Catorze asé remierobîarama
Comi,Akaru
Eu sou risonho,Xe nhearõ
"Ah, que bom seria a morte do fulano por aí!",Marãîasûaramo ahẽ kûepe se'õ mã!
Fez-nos viver,Îandé moingobé
Esses homens são os que portam riquezas para nós,Aîpó abá ma'e îara îandébe
Afilei-o bem fininho,Aîmopoîĩ
Não me detestam as prostitutas,Na xe reroŷrõî sygûaraîybora
Apartei-os,Aîmoîa'ok
"Trespassaram suas mãos juntamente com seus pés, sobre a cruz pregando meu senhor","Îaîpó-asá-sá i py resébe, krusá sosé nhẽ xe îara moîá"
"neste vale, lugar de chorar",ikó ybytygûaîa îasegûaba pupé
meu pensamento,xe 'anga
"Fizeste o pajé ser feiticeiro, acreditando nele?","Ereîmoupixûarype paîé, serobîá?"
"O forro que se casou com uma escrava verdadeira, pensando falsamente ""-eis que esta é forra"", não se casou","Mbiaûsube'yma mbiaûsubeté resé omendaryba'e ""-miaûsube'yma kó"" o'îaba'upa, n'omendari"
prender escravos,tapuîa rara
"Eia, roga por nossa virtude!",Katunhẽ eîerurébo oré katûagûama ri
"Apoio-me sobre o braço, estando deitado",Aîeatyrung gûitupa
Quantas vezes disse isso?,Mbobype aîpó i 'éû?
Que tenha reparação teu roubo,Ta sepy nde mondagûera
O que manda a um falso pajé ficar defumando a si,Paîea'uba supé onhemotimbó-timborukaryba'e
"peso de orelha, orelheira",nambi-paîa
"Embora eles fossem obra d'Ele, alguns anjos tornaram-se maus","Aûîeté a'e semimonhangûera, karaibebé amõ amõ oîemoangaîpab"
Eu sou redondo,Xe apu'a
"Por causa disso, agora amo a meu senhor Jesus","Aîpoba'e ri, ko'y asaûsu xe îara Îesu"
"Quando morre seu cônjuge verdadeiro, uma pessoa não pode casar-se com algum irmão ou irmã dele","O me'engabeté re'õneme, abá nd'e'ikatuî omendá i asykûera amõ resé"
"Ah, que velhaco!",Angaîpaba maniîabo mã!
"Ambos tremerão hoje, assim que me virem","Mokõîbé osyî kori, xe repîaka rupibéne"
Já fica ansiosa por vê-lo,Omoanhẽ ymã sepîakûama
Deleitando-se com sua polução em seu sono,O kera pupé o pupukûera morypa
Não me desterres tu,Xe pe'a umẽ îepé
Aguço a ponta dela,Asapûá-mobyr
casa assobradada,okybaté
Não sabe o senhor que eu sou um beberrão?,Nd'oîkuabipe ta'a kagûaramo xe rekó?
"Não te convém o riso, não te fica bem o riso",Na nde arõî nde puká
"A gente confessa totalmente, de costume, seus próprios pecados?",Oîmombe'u pakatupe amẽ asé o angaîpagûera?
bico de pássaro fora do corpo,tĩmbûera
forno para potes,kamusi rapŷaba
"Ah, bom tempo aquele em que lá fui!",Kûesenhe'ymĩkaé xe sóû a'epe mã!
"Eis que sobre o capim ele está deitado, no lugar de comer da vaca","Kapi'ĩ sosé kó tuî, tapi'irusu karuápe"
o pai de meus filhos,xe membyra ruba
Vem para fazê-lo experimentar o sofrimento,Eîori i moporaraa'anga
Já se juntaram a eles muitos moços bebedores de cauim,Onheŷnhang umã sesé kunumĩetá kagûara
"São Tiago, primo de Jesus Cristo, Apóstolo, entregou sua cabeça e sua vida","S Tiago, Îesu Cristo ri'yra, Apóstolo, o akanga o ekobé me'engi"
Qual outro é conhecedor senão ele?,Ma'e-kugûapara aé-amẽ ahẽ?
homem maduro na idade e no juízo,apŷabusu
Mas que procurais nesta minha terra?,Mba'e-tepe peseká kó xe retama pupé?
Tu vives?,-Endépe ereîkó?
"Para uma grande escuridão, na verdade, iriam",Pytunusupe émo i xóûmo
Que índios são esses?,Mba'e apŷabap'aîpó?
"do lado da superfície de, do lado de fora de",i apé koty
Tomei-o às costas,Aîar xe aseî
A mim também o flechado Bastião derrotou-me,Xe abé iî ybõmbyrûera Bastião xe moaûîé
O anjo revelou-se a ela como um rapaz muito belo,Karaibebé îepîakukari i xupé kunumĩgûasu-porãngaturamo nhẽ
Eles bem sabem que não mudarão?,Oîkuá-katupe i îekûaboke'ymagûama?
o que estava à sua direita,i 'ekatûaba kotysaba é
Que ele me leve para seu lugar de felicidade,Ta xe rerasó og orypápe
Fi-lo ter vontade de comer,Aîmoîurué
"Serão bons, doravante, os que eu guardo de costume",I angaturam ko'yré xe remiarõ îandune
Ajudaste alguém num roubo?,Ereîpytybõpe abá mondá resé?
"o que Deus faz, o feito de Deus",Tupana remimonhanga
"Ah, se tivesse percebido isso outrora!",Anhandu beémo erimba'e angûama mã!
"No meio do caminho, meninos assaltaram-me","Pé ku'ape, kunumĩ pu'ama'ubi xe ri"
Ajudei-o em suas palavras,Aînhe'ẽ-pytybõ
"Antigamente eu estava aflito, praticando meus vícios","Akûeîme aîkotebẽ, xe rekopoxy purûabo"
"coisa manifesta, pública, coisa notória por ser vista",ikatupesûara
"Vem, ó meu senhorzinho!","Eîori, xe îarĩ gûé!"
Regurgitei,Atuî
"Eu, Tatapitera, inflamo os antigos ódios","Xe, Tatapytera asapy nhemoŷrõmbûera"
Movi-o,Aîmomỹî
Mostrando-lhe certa árvore que estava no meio do seu jardim,Amõ 'yba gûemityma pyterype o'amba'e kuabe'enga
Para o vosso encontro da virtude verdadeira,Tekokatueté pé pe gûasemagûama resé
Como Herodes mandou tratá-lo então?,Marãpe Herodes serekó-ukari a'epe?
Estando de cor preta,Moroún oîkóbo
"Eu estou febril, eu tenho febre",Xe akanunduk
Todos os homens foram,Opá abá sóû
Bebe cauim também minha sogra,Oka'u bé xe raîxó
"Eis que minh' alma, à qual tu vens, há de estar como teu leito","Kó xe 'anga, nde rusaba, nde rupabamo t'oîkó"
Arei-a,Aîybyyby'ab
Faço sua futura casa,Aîmonhang sokûama
"Que se alegrem, descansando","Ta soryb, oputugûabo"
"o que toca o tambor, o tamborileiro",gûarará mopusara
Hei de obedecer muito a ele doravante,Asapîá-katupe angiré ká
Deus-Pai fez-te vir,Tupã Tuba nde mbouri
Fazendo-o transformar-se em seu próprio sangue,Og ugûyramo i monhemonhanga
"Ao morrer eu, que tu venhas para levar-me para o alto","Xe îekyîme, t'ereîu ybaté xe rerasóbo"
Leva-o depressa,Erasó esapy'a
Felizes estão todos os homens,Sory pakatu apŷaba
Os homens batem nele à tua vista,Sesé abá pûari nde resápe nhẽ
Lembrando-se de que Deus os honra muito no céu,Ybakype Tupã i moeté-katu resé o ma'enduaramo
Mataste?,Ereîukápe?
"Que tenhamos, em sua morada, junto de ti, a vida eterna","T'orogûerekó, setã-me, nde pyri, tekó-puku"
Pode o padrinho casar-se com aquele que batiza?,E'ikatupe morerokarûera omendá o emierokûera resé?
parede de casa,ó-pyá
"Após acabar o mundo, fará voltar a viver , levando-os para junto de si para sempre",Ara pab'iré i moingobeîebyri o pyri serasóbo aûîeramanhẽne
"Ah, quem me dera uma mulher viesse para o meu lado!",Our temõ kunhã xe posé mã!
Eu tenho muitas bolhas,Xe piru'a-ru'a
ficando a observar o procedimento das pessoas,abá rekó andu-andupa
Que Deus te coloque nas alturas como sua própria filha,T'e'i Tupã nde moingóbo o aîyramo ybaté
"casarão, casa grande",okusu
o que é medido,sa'angymbyra
"Que eles gritem, chorando!","Ta sasẽ, oîasegûabo!"
madeira ou armação para futura casa,ó-kangûama
quando ele peida,sepynõneme
"meu irmão gêmeo, o que nasceu juntamente comigo",xe kõîgûera
Meu preço é pouquinho,Xe repy mokonhõ'ĩ
o que é malquisto,i amotare'ymymbyra
Vou como alcoviteiro,Asó manhanamo
"Eu sou Guaixará, bebedor de cauim, grande boicininga","Gûaîxará kagûara ixé, mboîtiningusu"
Adversária da morte,Te'õ rupîara nhẽ
Ela tem folhas,Sob
Tenho-a como minha namorada,Xe kunhã'ybamo arekó
O período anterior ao dia dele é dia em que se jejua,I 'ara renondesaba 'ara îekuakupaba
Como estava orando a seu pai?,Marãpe seni og uba mongetábo?
Em terra não os fazendo transformar,Ybyramo i moingó-ukare'yma
Foram de novo alguns soldados para quebrar as pernas daqueles dois ladrões,Osó bé amõ maranaritekoara a'e mokõî mondá retymã mopena
"Após passar o seu parto, Santa Maria levou seu filho Jesus para o templo","O membyraragûera kûab'iré, Santa Maria o membyra Îesus rerasóû Tupãokype"
Por acaso arrancaram sua roupa?,Oîaobok serã gûá?
Fica aflito o padre por passar ali,Oîkotebẽ abaré uĩ gûasapaûama ri
"Vai para prová-los, pois, para que transgridam a palavra de Deus","Eîori sa'anga, rõ, t'otupã-nhe'engaby"
"Tu, talvez, para retribuir, a vida má, o desejo sensual atiras nele o dia todo","Nde serã i poepyka tekomemûã, poropotara ereîapi ko'arapukuî"
"Vinde, levai os malditos, erguendo-os, embrulhando-os","Peîori, perasó muru, supi i pokeka"
Prendi-os um no pescoço do outro,O îoaîuri aîmoín
"Está alegre, como eu, meu pai tupiniquim","Soryb, xe îabé, xe ruba tupinakyîa"
Eu tenho garganta seca,Xe ase'o-tining
Foi ela feita para ser a futura mãe de Deus,Tupã syrama ri i monhangymbyra
E agora?,ko'yr é-katuetépe?
Deseja ardentemente ver o nascimento de seu filho,O membyra 'arama osepîaka'ub
Mostrando-lhe uma certa árvore que estava no meio do seu jardim,Amõ 'yba gûemityma pyterype o'amba'e kuabe'enga
Vim de novo para externar minha alegria,Aîur-y bé xe roryba mombegûabo
Amarrei-lhe os calcanhares,Aîpytá-pûar
O que come terra ou outra coisa,Yby koîpó mba'e amõ gûara
Puni-o,Arekomarã
Eu estou em guerra,Xe marãmotar
Por sua morte Deus-Pai bem perdoa a nós?,Se'õagûera resépe Tupã tuba nhyrõngaturamo asébo?
peixe imprestável,pirá-poxy
a que amamenta,mokambûara
"E, principalmente, eles são adversários de agressores",Memeté a'e morero'arupîara
Tinjo-lhe os pés,Aîpy-gûang
Eu sou antigo filho de Jetuú Criei-me dentro dela,Xe Îetu'u ra'yrûera Anhemonhang i pupé
Aceitaste suas palavras ao dar ordens a ti para alguma coisa boa?,Ereîmorype i nhe'enga mba'e-katu resé nde pûaîme?
Fiz fogueira,Aîatapygûasu
"Estai com pranto, como modo de honrar o que entra para junto de vós",Îase'o rakó perekó peẽmo teîkeara moetesabamo
Minha família te ama,Xe anama nde raûsu
"Eis que ontem trucidei gente, matando europeus","Kûeîsé kó aporapiti, aîuruîuba îukábo"
O resto de minhas presas trouxe para a rainha,Xe rembiara rembyrûera arurĩ reîa supé
"Viram somente muitas chamas de fogo, parecidas com nossas línguas","Tatá-endy-etá, asé apekũ-abyare'yma anhõ osepîak"
Hoje eu deveria ir,Kori temone asómo
Meu filho que mama,Xe membykambu
Ia de costume,Asó amẽîepi
Bateste com o pau na tua esposa!,Ereropûar ybyrá nde remirekó resé!
"Ainda mais nosso corpo tem saudades de sua alma, sua verdadeira companheira, a que o faz viver",Memetipó îandé reté o irũeté o moingobesara o 'anga repîaka'upa
se eu arrotar,xe eúme
"Ah, ai de mim, o fogo do diabo sofrerei para sempre!","Ixé tekatuete'ĩ ra'u, Anhanga ratá aîporará aûîeramanhẽne mã!"
Vê tu a variedade de coisas,Esepîak tekó paraba
Paralelo a ele eu estava deitado,I porupy aîub
Os cristãos como uma unidade,I mongaraibypyretá oîepegûasu îasûá
Trouxe muitas destas ostras,Aruretá kó reri
Surpreendeu-te Deus a deleitar-te com nossas palavras,Nde resapy'ari Tupã oré nhe'enga morypa
Maldizendo a lei de Deus,Tupã rekó momburûabo
Uns com os outros também o mataram,O îoirũmo bé i îukáû
Levando uma outra semelhante a ela tão logo se consuma muito,I îaroketé rupibé amoaé sapixara rerasóbono
Por isso mesmo todos os homens estarão secos,Nd'e'i te'e opá abá tiningamo
"Nossa companheira de guerras, causa de nossa bravura","Îandé maranirũ, îandé abaîtéba"
Não que não soubesse o que buscava,Na sekasaba kuabe'yma ruã
Enxuguei-o,Aîmoaku'i
Que pesa mais ao que está ali do que tudo o que sofre?,Mba'epe sasyeté a'epe tekoara supé opakatu semiporará sosé?
"Com cravos espetando suas mãos, pregando-as","Itapygûá pupé i pó kutuka, i moîá"
Fiz-me rapaz,Akakuab
Sara mesmo minha alma somente com tuas palavras,opûerab é ipó xe 'anga nde nhe'enga pupé nhote
Da mesma forma que o laço está parado e é o pássaro que vai para dentro dele,"Ma'etakó nhusana oín nhote, gûyrá aé osó i pupé"
terceiro,momosapysara
"Conhece bem as guerras, ficando a esperar escondido as pessoas","Oîkuá-katu marana, morapearõ-arõmo"
"Portanto, essa é a primeira finalidade de se aspergir a gente com água benta",Irõ aîpó 'y-karaíba pupé asé îeepyîtabypy
Todo seu sangue deu,Opá og ugûy me'engi
cume de casa,okapyra
Por longo tempo ele se deteve,Ymûanĩ ahẽ rekóû
Eu dou tropeçada,Xe pysakang
Levo uma vida boa,Tekó-katu aîporará
Veio de novo ao lugar em que estavam deitados seus discípulos?,Our benhẽpe o boîá rupápe?
Vem para o meu lado!,Eîori xe posé
Logo o vento se levantará,Koromõ ybytu pu'amine
"Portanto, eu vim a ti","Emonãnamo, xe ruri ndébo"
couraça que tem muitas lâminas,itaoba i apenhugûã-nhugûanyba'e
haste sem os grãos,ygûera
Eu estou triste,Xe karukasy
Sua remissão foi minha determinação,Sepyrama xe pûaîtaba
Palavras de quem são essas?,Abá nhe'engûerape aîpó?
Tive alento,Xe 'ãur
"Agiste como não devias, certamente",Marandé ipó ereîkó
Fez-me arder as pernas,Xe retymã-moîosar
"Vem, coisa fedorenta, coisa nojenta!","Eîori, mba'enem, mba'e-poxy!"
"O que é comum é aquela mulher espedaçar nossas cabeças, ficando a derrubar-nos",Sekoaba'e kûé kunhã oré akanga i apiti oré moapará-pará
o resgate de minha alma,xe 'anga repymondykaba
"Assim, de fato, eu determinei",Emonã nakó xe rekopotari
"Entram grandes espinhos, espetando sua cabeça, furando-a toda","Oîké îugûasu i akanga kutuka, opá i mombuka"
"Ontem, é verdade, alguns sumiram","Kûeîsé, rakó, amõ kanhemi"
Que mal eu agi outrora,Akûere'õ xe rekóû rimba'e re'ĩ
Semelhante a uma roupa de querejuá que brilha mais que o sol,Aó-kereîûá kûarasy sosé oberaba'e nungara
Atraiu-se minha alma pela beleza de tua alma,Onhemomotá xe 'anga nde 'anga poranga ri
Vem para amedrontá-lo,Eîori i mosykyîébo
"Eis que, como está no céu, Nosso Senhor está dentro do pão nas mãos do padre, com certeza","Akó ybakype ogûekó îakatu, Îandé Îara rekóû miapepûera pupé nhẽ abaré pópe re'a"
Eu soluço,Xe îeîok
"Ao lado uns dos outros seus cadáveres estavam, ao longo do mar",O îoybyri se'õmbûera paranã ybyri i kûáî
A água benta seja o meio de viver de minha alma,Y i mongaraibypyra t'oîkó xe 'anga rekobesabamo
Sumiu a canoa de mim,Okanhem ygara xe suí
"Assim eu procederei, tendo saúde futuramente",Akûeîkó xe rekóû xe marane'yma rerekóbo rimba'e re'a
"Ah, que atrevido é esse fulano!",Tekatunheté kó ahẽ mã!
"Por amar muito vossas almas, como seus discípulos vos tomaram","Pe 'anga raûsukatûápe, o boîáramo pe rari"
Estou atrás de caça,So'o resé aîkó
vespa pontuda,kabatĩ
"Atrás de uma cerca feita de pedras, tomou a casa dos animais de criação como sua pousada",Ybyrá itá monhangymbyra kupépe so'o mimbaba roka ogûar og upabamo
"Que nada! Vou vencê-los, como sempre",Erĩ! Aîmoaûîé îandune
nosso anjo da guarda,îandé karaibebé
Eu sou todo manchado,Xe pinĩ-pinim
"Calava-se, estando de pé, não respondendo as palavras deles","Opyk o'ama, i nhe'engobaxûare'yma"
Ambas as minhas coxas adormeceram,Opá xe uba îesyî
"Pois se levas cães, se estiverem eles ao lado um do outro da sua própria raça, acolhem-se um pouco mais","Îagûara biãé ererasó, gûa'ysé o îoesé posé o ẽme, oîepysyrõ bé'ĩ"
Aqui é minha casa,Iké xe roka
Emendou também aquelas suas palavras?,Oîmoîoapyr-y bépe aîpó o nhe'enga?
"Esse santo a vida de seu mestre escreveu para nós, deixando-a","Kó santo o mbo'esara rekopûera erimba'e oîkûatiar îandébo, seîá"
A lã em roupa transformamos,So'o ragûera aobamo îaîmonhang
"Que venha logo o que me guarda para me livrar dele, combatendo-o","T'oú taûîé xe rarõana xe pysyrõmo i xuí, i momarana!"
Ele há de morrer!,T'omanõ ká!
lugar em que estará fundada a igreja,Tupãokupagûama
Emplumei-o,Asamongy
Vou com Pedro,Orosó Pedro pabẽ
Na dor dos ciúmes ficaste suspeitando das mulheres?,Tygûyrõ rasype é kunhã eremondá-mondá?
Não pode outra pessoa batizar em vez do padre?,Nd'e'ikatupe amõaé abá oporomongaraípa abaré suí?
O que ama verdadeiramente a Deus não tem dificuldades em viver segundo os mandamentos de Deus,Tupã raûsupareté n'oîmoabaíbi Tupã asé rekomonhangaba rupi o ekó
Veio para visitar esta minha terra outrora,Our kó xe yby supa rimba'e
o que é o único filho dele,ta'yra oîepeba'e
Como viajantes é que nós estamos nesta terra,Ataramo é asé rekóû ikó yby pupé
Afasta o diabo deste dia em diante,Eîpe'a Îurupari kó 'ara suí
Espevitei-o,Asatapyĩ'ok
fio embotado,aembé-korõîa
Amarrei-lhe a cabeça,Aîakã-mbûar
Acreditas na dança do Guajupiá?,Ererobîarype Gûaîupîá moraseîa?
"Imaginai, em vossa morte, estardes vós deitados",Peîmo'ang pe re'õ pupé pe ruba
"A gente diz ""anjos"" para eles por irem eles por sua vontade para longe, como que voando, muito rapidamente","Korite'ĩ-aíbeté obebébo berameĩ kûepe o emimotarybo i xóreme ""karaibebé "" asé i 'éû i xupé"
"Corrige-os, censura-os, para que queiram livrar-se do inferno","Enonhẽ, eîakaká, t'oîepysyrõ-motá anhanga ratá suí"
Numa certa noite,Putuna amõ resé
Quando foi para visitá-la?,Erimba'epe i xóû i xupa?
"Eu sou aquele em quem se deve acreditar, o que tem nome Guaixará","Ixé serobîarypyra, Gûaîxará seryba'e"
"Eu estou cansado, eu estou com sono!","Xe pûeraî, xe ropesyî!"
"O homem desanima, sem mais, de comer também",Omanõaibí abá o mba'e gûápe bé
Que fizeram com ele antes de o enterrarem?,Marãpe serekóû i tym-y îanondé?
"Conforme ela, curaste os doentes",Supibé eremombûeîrá mara'abora
Eu estou feliz por causa de tua ida,Xe roryb nde só resé
Seu corpo somente verão,Seté anhõ osepîakyne
Levanto-me,A'am
"Honra a gente também outros dias, neles não trabalhando","Oîmoeté bé asé amõ amõ 'ara, i pupé oporabykye'yma"
Sendo também odiados,Seroŷrõmbyramo oîkóbo bé
Hei de ir obedecer a essas palavras,T'asó aîpó nhe'enga mopó
o que está junto de Deus,Tupã pyri oîkoba'e
Estou quieto,Aîubĩ
Tomaste o animal que a onça matou?,Ereîápe so'o îagûara remiîukapûera?
Pedindo para nos ajudarem,Îandé pytybõagûama resé oîerurébo
Preocupam-se todos os cristãos em saber isso?,-Onhemosaînan pabẽpe cristãos aîpoba'e kuabaûama resé?
Quer perdoar muito a nós,I nhyrõngatu-potá îandébo
Lembra-te bem de Deus-Filho ter-se feito menino por tua causa,Nde ma'enduá-katu nde resé Tupã Ta'yra nhemokunumĩagûera resé
Carpi-as,Aîkapir
Ele é muito grosso,Tubixabeté
Vem novamente para curá-los todos!,Eîorino i mombûeîrá pá!
Faze estar muito longamente esta aldeia em Deus,Eîmoingó-puku-katu kó taba Tupã resé
"Os moradores da aldeia, velhos, velhas, moços, homens, moças, como meus súditos todos em minhas mãos os tenho","Tapiîara, tuîba'e, gûaîbĩ, kunumĩgûasu, apŷaba, kunhãmuku, xe boîáramo pabẽ xe pópe arekó-katu"
"Não te envergonhas, porventura, de ti mesmo, ao dominar-te o desejo sensual da carne podre?",Nd'eretĩ-piã nde îosuí so'o-aíba poropotara apyrasápe?
Peca muito o homem que fica fazendo as pessoas fumarem?,I angaîpabetépe abá oporomopetymbûabo?
É certeiro esse maldito,I pûakatu kó muru
Como a gente procederá para obedecer a Deus?,Marãngatupe asé rekóû Tupã o apîaraûama rine?
Os guardadores de cabra querem visitar seu Senhor,Sygûasumé rerekoara oîosu-potá o îara
"Daqui vou para longe, outras aldeias frequentando","Kûé suí asó mamõ, amõ taba rapekóbo"
"Certo judeu velho mostrou o lugar em que ela foi enterrada, fazendo-nos alcançá-la","Amõ îudeu tuîba'e i tymagûera kuabe'engi, sesé îandé moîekosupa"
Eu afrouxei,Xe apapub
Recusando uma criança,Pitanga kuakupa
Sobre quê será nossa conversa?,Ma'e resé îandé nhomongetá?
