source,reference,translation
"O sy rygépe o pitanga reropytá îabé, t'opytá pe pupé",Que ele fique dentro de vós como fica com seu estado de feto no ventre de sua mãe,"Depois de ter sua mãe comedorando seu filho, que viva em vós"
Irõ bé!,Enfim de volta!,Vem também!
Mba'e resépe ereîur xe remiaûsukatu gûi?,"Por que vieste, ó meu muito amado?",Por quê tu me amaste muito?
Herodes meémo ikó oîme'eng te'õ supé i angaîpaba kuapa,"Herodes teria entregado este à morte, conhecendo suas maldades","Por causa de Herodes ele foi para a morte, contando seus pecados"
"Kûesé, karaíba ri i pokoki","Ontem, aos brancos deram combate",Eis que eles foram para o karaíba
Mba'e-mba'epe asé suí i pitubypyra?,Que deve ser ungido de nós ?,"O que é mais, o que é deixado da gente?"
Aîmombor ybype,Lancei-o no chão,Arranquei a terra
Nd'e'i 'ara,Não está dia,Não é o dia
Sa'ĩ xe îukae'ymi,Apenas não me matou,Dizem que não me matam
Akó xe remiybõmbûera?,Esse é o que eu flechei?,Este é o que eu peço?
"Peîori pitanga gûabo, kunumĩ mokona mbá","Vinde, para comer a criança, engolindo completamente o menino","Vinde para vestir as meninas, querendo matar as meninas"
Xe rarûab,Frustrei-me,Eu sou grande
"Esepenhan, Saraûaî!","Ataca-o, Sarauaia!","Vem, Sarauai!"
"Eresaûsubarype i mba'easyreme, satá-á","Tu te compadeceste deles quando eles estavam doentes, tirando-lhes fogo?","Conhece-o, quando ele está preso, o satá-á"
"Mokõî oîoirundyk oito 'ara sykeme, i 'apira mondoki","Ao chegar o dia oitavo , cortaram seu prepúcio","Logo depois de passarem oito dias, aquecendo-os"
Xe resá-ynhusu,Eu tenho olhos esbugalhados,Eu tenho o pescoço escurado
Apindó-pûaî,Mandei fazer palma,Fiquei-o a colar
Aûîebé-temo xe nupãû anhe'engĩmo,"Ainda que me castigasse, eu falaria","Eis que, de fato, eu não tenho a ver com ele"
Akopîasó,Vou à roça,Vi-o
Mba'epe ké kanindeoby îasûara?,Que há aqui semelhante a um canindé azul?,"Que é aqui, de costume, a gente que come?"
Og uba rupi ahẽ resatingamo,Ele tem olhos claros como seu pai,Com seu próprio pai ele se batiza
Abá ra'yrape nde?,Filho de quem és tu?,Quem és tu?
"Erenhe'eng-aparatãpe abá supé, i moroŷrõmo, i moporoamotare'yma?","Falaste duramente a alguém, irritando-o, fazendo-o odiar as pessoas?","Tu te preocupaste com as pessoas, confundindo-as, não confundindo-as?"
"Kuîa nhẽ i tĩ-ngá-tĩ-ngábo, ereîanga'o abá","Das cuias ficando a quebrar as pontas, afrontaste os homens","Cobri-o, certamente, para que o compreis o homem"
Oromoeté-katu nde xe pysyrõagûera resé,Louvo-te muito por me teres salvado,Lembra-te muito de que tu me guardes
Ereîe'aîtykype kunhã amõ supé?,Acenaste com a cabeça para alguma mulher?,Aproximaste-te de alguma mulher?
Ne'ĩ xe atuasar,"Eia, meu aliado!","Eia, meu senhor"
Pene'ĩ pesóbo,Sus! Ide!,Lembrai-vos dele
Na xe îáî,"Não está em conformidade comigo, não é igual a mim",Eu não sou assim
Oré moingobé îepé,Faze-nos tu viver,Fazemos-nos viver juntos
Asendubaíb nde nhe'enga,Entreouvi tuas palavras,Acreditei em tuas palavras
Tupã moîerekûapa,Aplacando a Deus,o que tem a vontade de Deus
Eresem ymã putunusu suí,Já saíste da grande escuridão,Tiveste ido de longe para longe
Emogûeb tatá,Apaga o fogo,Arrancamos o fogo
Aîakangeky-ekyî,Fiquei-lhe puxando a cabeça,Fiquei-o engardoando
Apŷá-serokypyra kó 'ara oîmoeté,Os homens batizados honram este dia,Os índios que se casam hierram este dia
Mba'eramo i moîa'okypyra rekóreme,Por ser coisa que deve ser dividida,Em troca de coisas que não são feitas
Xe îagûareteporu!,Eu sou um jaguaretê comedor de gente!,Eu sou muito bondoso!
Xe nhe'ẽrueru,Eu sou gago,Eu tenho palavras de aflição
amõneme nhõ,raramente,de alguma forma
so'o ma'e'ĩndaba,"lugar de vender carne, açougue","o que é mau, o que é mau"
Ybakype i xoagûera rerobîá,Crendo na sua ida para o céu,Contando os que foram para o céu
N'aîmopanemi tupãoka,Não falto à igreja,Não me preocupamos com a morte
nde rokype oîkébo,entrando em tua casa,em tua casa abrindo-o
tupinakyîa keygûara,"os tupiniquins, habitantes daqui","portador de armas, portador de armas"
"Oîké îugûasu, i akanga kutuka","Entram grandes espinhos, espetando sua cabeça","Entram grandes espinhos, espetando sua cabeça"
Mobype a'e asé rekomonhangaba?,Quantos são os mandamentos dele à gente?,Qual é o mandamento daqueles homens?
Xe moobaybaka,Fazendo-me erguer o rosto,Eu estou desordenado
"Akûeîme apytá memẽ nde pyri, ybytyrapûápe","Antigamente eu ficava sempre junto de ti, no alto do morro","Imediatamente as velhas passarão por tua frente, no cume"
Memẽ nhẽ moxy îandébo marã e'i-memûã-memûã,"Sempre os malditos para nós dizem maldades, mui perversamente","De fato, de fato, os malditos a nós são muito maus"
N'aîari kó sekó-angaturama,Não acato essa sua boa lei,Não quero que esteja este maldito
Nde resé te'õ n'osyki,De ti a morte não se aproximou,Não tem medo de ti
Asykûera aîasy'ab,Cortei um pedaço,Aquecei-me o sangue
nhau'umoka,casa de barro,"o que está no meio, o que está no meio"
Anhemongatyrõ,Enfeitei-me,Fiquei-me afligindo
Oré rysy,Nós estamos enfileirados,Nós somos grandes
Iesus boîá ã ikó,Eis que este é discípulo de Jesus,Eis que aqui está Jesus
Aîepoká-poká,Fico-me espreguiçando,Fiquei-o a colar-o
Aûîebeté ereîkó xe îar-y gûé!,"Que bom que existes, ó meu senhor!","Ah, muito bem que és tu, ó meu senhor!"
Abámo mba'e-katu 'uagûera n'oîkuabi xûé sé katûagûera resé o esaraîamo?,"Quem não saberia ter comido algo bom, esquecendo-se da excelência de seu sabor?","A gente não sabe as coisas boas que aparecem em seu ventre, por causa de seu ventre?"
Xe rebykatãgûasu,Eu estou muito empanturrado,Eu sou muito grande
Sesé oma'enduaramo,A respeito dele lembrando-se,Fazendo-os sentirem-se mal
Aîkurá-kurab,Fico-o chacoteando,Fiquei-o a colar-a
A'eboé tuî,"Está muito a propósito, está sem mais nem menos",Eis que vou
kó amoaé,este outro,eis que aqui está
itangapẽ-mbora,"marca de espada, sinal de ferimento com espada","o que tem o corpo limpo, o que está limpo"
amõ amõ santos,alguns santos,alguns santos
Iîá muru senonhana!,Ainda bem que o faz correr consigo!,Eis que os malditos o mataram!
A'eîbé Pilatos supé oîerekûabamo,Bem nesse momento perdoou a Pilatos,"Aí, voltando para Pilatos"
ygá-pype,na parte de dentro da embarcação,no rio da água
Xe pytu-muku,Eu tenho fôlego comprido,Eu tenho a cintura escura
Xe îase'opyoú,Eu estou rouco,Eu sou coizoso
"Oîposanong i nambi atõîa nhote, aûnhenhẽ i monga'ẽmo, i moîepotá","Curou-o, somente tocando sua orelha, imediatamente fazendo-a sarar, colando-a","Fazem-se amarres suas maldades logo, fazendo-as mal, abatando-as"
tykuba'e,"o que é líquido, o que é ralo",o que está no meio
"Moraseîa é i katu, îegûaka, petymbu","A dança é que é boa, enfeitar-se, fumar","A dança é que é boa, enfeitar-se, enfeitar-se"
kaûĩ ratá,"fogo do cauim, isto é, com que se coze o cauim",cauim de cauim
Aytarõ,Farto-o,Aproximei-me
ambé-aîó,bolsa do abdômen,caça de caça
Asepy-sepyk,Fiquei falando em favor dele,Fiquei-o apanando
Pysaré kó i kere'ymi,Eis que a noite toda ele não dormiu,Eis que aqui está o seu rastro
Ererobîarype paîé porapiti mo'anga'uba?,Acreditas no pajé ao fingir assassinar as pessoas?,Acreditas nas aflições dos padres?
A'e 'ara îepubur'iré a'ereme karaibebé ruri,"Após aquele revirar-se do mundo, então os anjos vêm","Depois de acabar esse dia, após passar o anjo"
Aûîebé-te asó,Debalde vou,Eis que vou
Mba'easybora repîaka,Ver os doentes,Apanhar as pessoas que se preocupam com algo
"O a'yra, o embiaûsuba omoporabykyba'e",O que a seu filho e a seu escravo faz trabalhar,"Sua mãe, a que adora, querendo enfeitar-se"
tapi'i-kaba,gordura de vaca,"o que é limpo, o que é limpo"
kûeîpe suí,"de alguma parte, dalgures",de aí para longe
Xe ky'a,Eu estou sujo,Eu sou calvo
Tupãoka suí i mosemymbyra,É o que deve ser expulso da igreja,O que é deixado de Deus
itamaraká-mirĩ,"sineta de mão, sinozinho manual, campainha","o que é bom, o que é mau"
Kunhã kuauká i mena supé,Acusando uma mulher para seu marido,Uma mulher toca contra seu marido
Xe rekó-aé arekó,Tenho meu modo de ser diferente,Eu sou muito grande
"Ereîeîuru-mopiningype, abá supé epukamirĩamo?","Pintaste-te a boca, sorrindo para os homens?","Encheaste-te a cabeça, mandando as pessoas sentarem-se no chão?"
Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo,Dizendo que um canto de pássaro ou um urro de onça são agouros,"Eis que, na verdade, o maldito é o que sofre as palavras dos mortos"
Abá mondarõagûera o'uba'e koîpó og okype ogûerasoba'e,O homem que come objeto de furto ou que o leva para sua casa,A morte de alguém ou de alguém que apareceu no céu
"Xe 'ang - Eu tenho abrigo, eu estou abrigado Xe 'ãngatu","Eu tenho bom abrigo, eu estou bem abrigado","Eu tenho abrigo, eu estou abrigado"
Aîuká-matutenhẽ,"Matei-os muito, fiz matança",Fiquei-o botando
Emonãnamope Tupã îandé rubypy arukanga nhẽ apóû semirekóramo?,Por isso Deus transformou a costela de nosso pai primeiro em sua esposa?,"Por acaso Deus, em nosso pai nosso, fez a vida humana assim?"
"Eresópe abá îeky-'ye'ẽ supa, i pora rá?","Foste para revistar as cisternas de água doce de alguém, tomando seu conteúdo?","Acreditas em alguém, sentendo seu coração ardendo?"
Xe rekoruînhẽ,Eu estou adoentado,Eu tenho palavras boas
kopûera,"roçado antigo, onde o mato cresceu de novo",o que é morto
Abá-angaîpabĩ takó mba'e-katu ogûerekó xe suí mã!,"Ah, um homem pecador há de ter mais coisas boas que eu!",Meu maldito assim fez coisas boas para longe de mim!
Kó-tene i îaeté,Este é o máximo,"Eis que, de fato, eles são verdadeiros"
Aîtyk ygara,Lanço [à água] a canoa,Arranquei a canoa
"Oîkuakumo amõ abá tekopûera oîepé'ĩ nhõmo, Tupana n'i nhyrõî xómo","Se alguém escondesse os atos passados uma só vez, Deus não perdoaria","Ficando aflitos os pecados de alguém, Deus não morre"
Mamõpe i xóû o mba'e'u-pab'iré?,Aonde ele foi após acabar de comer?,Por onde é que ele está depois de se casar?
"T'oré pyatã, angá, mba'e-asy porarábo","Que sejamos corajosos, sim, suportando as coisas dolorosas","Que tenhamos nosso próprio coração, direita, para que façam as coisas bonitas"
"Adão, oré rubypy, oré mokanhemeté","Adão, nosso primeiro pai, fez-nos perder verdadeiramente","Adão, nosso pai, faz-nos ficar felizes"
y-eté,água doce,rio de terra
Supixûar ikó paîé-angaíba,Este pajé ruim tem um espírito protetor,Aproximam-se estes velhos senhores
"Nde ereîemosusuni, oré moingobé-potá","Tu te agitaste, querendo fazer-nos viver","Tu te matas, fazendo-nos ficar apressados"
Mba'epe sepyrama?,Qual é o preço delas?,Qual foi o que foi perseguido?
Osó nhẽmope asé ybakype o nhemongaraibireme?,"Iria a gente para o céu ao batizar-se, sem mais?",Viram as pessoas para o céu depois de se casarem?
Xe anama xe mbouri,Minha família fez-me vir,"Eu sou bom, eu sou bom"
Kó abá semirekó abé opá o mba'e mombabi,Esse homem e sua esposa também fizeram acabar todas as suas riquezas,"Este homem, também, tem todas as suas coisas"
Asapûapin,Aguço-a,Aproximei-o
gûaîbĩ-marã serã-serã,velha muito maldosa,catorce de catorce de catorce
Eîori nde retamûama repîaka,Vem para ver tua futura terra,Vem para ir atrás de tua terra
Sesé orosó,Vou com ele,Seus filhos são diferentes
Xe anhanga moropé,Eu sou o diabo esquentador de gente,Meu diabo salva
ka'a-pa'ũ,"ilha de mato, CAPÃO",carne de caça
"Mba'e-akuba, mba'e-robeté tukutuku okûapa","Estando a destilar coisa quente, coisa muito amarga","Cobrindo coisas boas, coisas boas e boas"
Nde resé serosypyra,Os que estão achegados a ti,Sembrando-se por tua causa
Nde 'anga osapy satá,Queimou tua alma o fogo dele,Tua alma enche o fogo
Eropytá nde boîá'ĩ orébo,Fica com teus suditozinhos junto de nós,Aproxima-te de teu próximo
Peîori sapirõagûama resé pe pupé seîkéreme,Vinde para pranteá-lo ao entrar ele em vós,Vinde para ficar com os que se batem em vós
"Nd'e'i te'e oá nhote i xuí, nd'i pekábo ruã","Por isso tão somente nasceu dela, não lhe fazendo rombo","Por isso mesmo acabarão, nem por causa deles, nem por causa de vossas aflições"
T'îasó maranatãûãme o îoupé oîobaúpa?,"Havemos de ir à dura guerra, cara a cara uns contra os outros?","Vamos, porventura, aos maranatães para enfeitar-se com eles?"
Pitanga robá sesãî i xupé,O rosto da criança está alegre para eles,Trazi-lhe o chapéu
Xe pûeraî mbyté,Eu estava ainda cansado,Eu sou grande e grande
ugûera,quarto traseiro que se parte de um animal ou de uma pessoa,"o que é um, o outro, o outro"
ta'yrypy,"primeiro filho do homem, primogênito","o que está no meio da terra, no meio da terra"
Nde resé i pûaragûera moasŷabo,Arrependendo-se ele de ter batido em ti,Agradecendo-se com suas palavras em teu nome
Nde 'anga sepy-etéba'e,Tua alma é o que tem muito preço,A morte de tua alma
Omanõaibí abá o poraseîtápe bé,"O homem desanima, sem mais, de suas danças também","Enfim, o homem se arrepiando também"
sapi'a'okypyra,castrado,"o que tem caço, o que tem caço, o que tem caço"
Asem,Mudo-me,Caio-o
Aporero'ar,Salteio,Fiquei-o a ir
Abápe asé sumarã?,Quem é o inimigo da gente?,Quem é nosso chefe?
Xe typa'am,Eu tenho cálculos renais,Eu sou escurado
"Nde pó gûyrype oroîkó, nde resé oroîekoka","Sob tuas mãos estamos, em ti apoiando-nos","Em tuas mãos estamos, guardando-nos de ti"
o apixara rerekoaíba,maltratar a seu próximo,o que tem o nome de seu filho
N'aker-angáî sekasápe,"Não dormi, absolutamente, para procurá-los",Não me desperdo quando eu o matarei
"Nde atybak, nde resá-popybo ema'ẽmo, epukamirĩamo, eîepokábo tenhẽ","Tu voltas o rosto para trás, olhando com a ponta dos olhos, sorrindo, espreguiçando-te","Tu te alegras, tendo medo de te matares, fazendo-te engardoar, até mesmo"
"Aîpó e'ymeté, ko'arapukuî, pysaré nde maînanĩ nde 'anga resé-ne","Sendo isso assim, o dia todo e a noite toda tu cuidarás de tua alma","Eis que o diabo, o diabo, no momento em que tu te alegras por tua alma"
Tekatueté mã!,"Ah, que atrevido!","Ah, que grande é isso!"
inhanhã,cavidade dela,"por aí, por aí"
Xe reté-piring,Meu corpo treme,Eu tenho o pescoço grande
Eîori t'eremondó xe suí tekoangaîpaba,Vem para que faças ir de mim a maldade,Vem para que te livres dos pecados de mim
Nde arũaípe nde rapixara 'arybo eîupa?,"Tu foste chocarreira, estando deitada sobre teu próximo?",Tu te importaste por causa do parto de teu próximo?
Pe 'angyme oîkeba'epûera,O que entrou em vossas almas,Vós sois os que se confessam
A'e pe mopyatã,Ele vos fortalece,Ele será vosso substituto
Aîeîuká-ukar,Faço-me matar,Faço-lhe chamas
a-pixapaba,ferida da cabeça,cintureira de cintureira
Xe apebĩ,Eu sou rechonchudinho,Eu sou grande
"Nde rera rendupa abé, Anhanga ryryî okûapa","Tão logo ao ouvir o teu nome, o diabo está tremendo","Aproximando-se de tua morte também, o diabo está aterrorizado"
o apixara reîmbaba îagûara remimomosẽgûera,o que perseguiu o cão de seu próximo,o que confessa os pecados de seu próximo
-Mba'epe aûîeramanhẽ serekopyrama ikó 'ara pupé? -Aani ã biã - Que é o que será conservado para sempre neste mundo?,Nada,O que é que será guardado para sempre neste mundo?
Aygapukuî,Remo,Eu sou grande
Yby rupi bépe sugûy syryki?,Pelo chão também escorreu seu sangue?,Dentro da terra também está a luz?
Nd'e'ikatuî abá îuru Anhanga ratápe tekó-asyeté mombegûabo,Não pode a boca de ninguém contar as coisas muito dolorosas no inferno,Não pode ninguém comer o fogo no fogo do diabo
ypîasoara,o que vai buscar água,"o que é morto, o que é morto"
"Sepyápe, ereîakasó","Em reparação disso, mudaste-te de aldeia","Ao longo de sua vida, te mataste"
Emonã ûĩ sekóû,Essa fez assim,Eis que aqui está
"Oîepé-ĩombé, nipó, i angaîpab amõme é","Um ou outro, porventura, foi mau alguma vez","Enfim, na verdade, alguns deles são maus"
Asapy,Queimo-o,Fiquei-o
Oporombo'e-a'u Tupã nhe'enga ra'anga,Ensina falsamente as pessoas a provarem a palavra de Deus,Querendo confessar a palavra de Deus
Eresó ûĩ,Eis que vais Vais,Vais
Anhanga o îaramo sekó potare'yma,Não querendo que o diabo esteja como seu senhor,O diabo não tem a vontade de fazer isso como seu senhor
îandé ma'enduaramo,lembrando nós,como nosso guardião
Abápe opytá a'epe?,Quem ficou ali?,Quem é a que se detesta aí?
"T'oroîtyk oré poxy, paîé rerobîare'yma, moraseîa, mbyryryma karaimonhanga ndi","Que lancemos fora nossa maldade, não acreditando nos pajés, em danças, rodopios com feitiços","Que venha nossa maldade, não querendo matar ninguém, o maldito, o maldito é meu diabo"
"Missa mondykápe épe ereîké îepi, nde îesûere'yîpe","É no final da missa que entras sempre, manifestamente consciente?","Ao roar a missa tu apareces sempre, fazendo-te virar"
Tekokatueté rerekoara o emimotarybo é i mba'ee'ymba'e,O que tem a bem-aventurança é o que é pobre por sua própria vontade,O que tem a virtude da virtude é o que não tem virtude
"Eresaûsubápe nde sy nde ruba i mba'easy tume, sesé nde morerekoaramo?","Tens compaixão de tua mãe e de teu pai quando eles estão deitados, doentes, sendo responsável por eles?","Acreditas em tua mãe, que é a mãe de teu pai, tendo coisas más com ela, sendo tu temorosa por ela?"
"A'eboépe Tupã rasara Tupã rari amõme, îepi?",É certo que o comungante comungue algumas vezes sempre?,"Então também o padre de Deus fez a mãe de Deus, também?"
Erur 'y ixébe,Traze água para mim,Tiveste medo de mim
O îoybyri se'õmbûera paranã ybyri i kûáî,Lado a lado seus cadáveres ao longo do mar estavam,"Ao lado de seu corpo, ao longo do mar, dei-lhe a cabeça"
I xy n'i membyrasyî,Sua mãe não teve dor de parto,Sua mãe não se livra dela
I 'ã i 'ang xe retãme xe rekoagûera ixébo,Vem-me à memória minha vida passada em minha terra,Deram-me os meus antigos pecados
Marã e'ipe Pilatos serekoaretá supé?,Como disse Pilatos aos seus aprisionadores?,Que disse Pilatos para seu próximo?
"Aîpó kuapamo, ereîmorambûé Tupã nhe'enga abyrambûeramo","Sabendo disso, impedirias a transgressão da palavra de Deus","Por causa disso, ignoraste verdadeiramente a palavra de Deus"
Oîoirundyk îeapyká sykápe,No transcorrer de quatro gerações,Afastando-se no meio da morte
"Temone ko'yr Anhanga ratá pora, abá amõ opu'ama iké îandé re'yîpemo","Oxalá agora alguma pessoa, habitante do fogo do inferno, levantasse aqui na nossa multidão","Queimar-vos-ão o fogo do diabo, querendo que algum homem come aqui para nós"
Ko'ẽme gûemi'urama resé onhemosaînana,"De manhã, cuidando de sua comida",Fazendo-se aflitar por causa de um parto
T'ereîuká ixébe paîé-aíba supé,Que o mates para mim diante do pajé ruim,"Que venha para mim, para os índios"
y-mombukaba,sangradouro de rio,rio de rio
"Oîá nhote kagûarape, marã?","O que bebe somente na medida, que acontece?","O que está a comer cauim, que acontece?"
mangaby,licor de mangaba,"o que está no meio, o meio"
marã-te-p'iã-ne?,"E, pois, como há isto de ser?",que coisa é isso?
mokõî îasy,"por dois meses [lit, duas luas]",dois ápices
T'aîpobu kori ygasaba,Hei de mexer hoje as igaçabas,Hei de ir a casa de hoje
Perobîar-y-tepe aé Tupã?,Mas acreditais realmente em Deus?,Porventura aquele Deus foi ele?
Asendu-potakatu,Folgo muito em ouvi-lo,Fiquei-o a comer muito
pobandara,"o que fia , fiandeira","o que é mau, o mau"
Marã e'ipe Îandé Îara og obá petekarûera supé?,Como disse Nosso Senhor para o que esbofeteou seu rosto?,Que disse a Deus-Arão para sua companheira?
Oré remi'u 'ara îabi'õndûara eîme'eng kori orébe,"Nossa comida, a que é de cada dia, dá hoje para nós",O que nos faz viver o dia de nossa morte faz-nos viver hoje
miapepûera,o que foi pão,o que foi preso
Opápe turi?,Todos vieram?,Onde também?
"Cruz resé i moîari, i îeruresabo é","A seu próprio pedido, na cruz o pregaram","Trazi-o pela Cruz, reunindo-o"
tining-atã,coisa mirrada ou muito seca,canoa de peixe
Abápe aîpoba'e oîmomaran?,Quem desobedece àquele?,Quem é quem o matará?
"O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?","Ergueu-se com as feridas de suas mãos, de seus pés e de seu flanco?","Aquele seu corpo, seu corpo, seus pés e seu chão estavam repletos?"
Ereîmombukype kunhataĩ amõ?,Desvirginaste alguma menina?,Acreditas em algum moço?
Oú tubixá-katu,Veio um grande chefe,Entramos muito depressa
osóbo bé,tão logo indo ele,ainda hoje
Aî'apirungá,Machuco-lhe a cabeça,Fiquei-o a colar
"T'oroîtyk oré poxy, paîé rerobîare'yma, moraseîa, mbyryryma","Que lancemos fora nossa maldade, não acreditando nos pajés, em danças e rodopios","Que conheçamos nossos pecados, os que não se confessam aos homens, os que são maus, os que são maus"
A'epe bé ogûekokatu pupé o 'anga nongatusarûera oína,Ali também estando os que guardaram sua alma em sua virtude,Aí também encontram dentro de suas almas os que não se casam
Mamõpe erimba'e te'yî-katupabẽ Îandé Îara rerasóû?,Para onde a multidão numerosíssima levou Nosso Senhor?,"Por onde foi, porventura, a grande morte que our Senhor fez?"
Seroŷrõmo opakatu ikó 'ara pupé seroŷrõmbyra sosé,Detestando-os mais que tudo o que se deve detestar neste mundo,Não se aflitam mais que não se aflitam neste mundo
y-tororoma,"jorro d'água, ITORORÓ, bica d'água",rio de terra
"Opûerab amõnyme, Tupã asé rerekokuapaba rupi é","Cura-se algumas vezes, segundo os desígnios de Deus para a gente",O tempo em que Deus percebemos as coisas é
A'eba'e i moapysykypyramo sekóûne,Aqueles serão consolados,Aquele sendo o que é perseguido por causa dele
Xe ryapûanusu,Eu fedo,Eu tenho o coração escurado
Xe apy'am,Eu estava pendente,Eu estou deprimido
Aîukatu,Acalmei-me,Matai-o
"- Akó morotinga, i amandaba bé asé osepîak",A gente vê aquela coisa branca e sua redondeza também,"Este é o morotinga, seu marido também a gente vê"
"Sesé onhemonane'yma, oîabé sekó potare'yma","Com eles não se misturando, não querendo, igualmente, seu modo de ser","Não se aflitam por causa disso, não querendo que isso aconteça"
"Taûîé pe poreaûsubagûama rapirõmo, peîemoangekoaíb peína","Pranteai logo vossa miséria, estai a vos lastimar","Depois de vos amarrem, queimam-vos vosso nome"
Abebé kó ybytu îá,Vôo como este vento,Eis que aqui está o fogo
mbyru'apûera,calos já duros,o que é morto
Xe akym,Eu estou molhado,Eu estou aflito
Aîerekoaibeté xe angaîpá-katu suí,Piorei muito de meu grande mal,Fiquei-me aflindo de meus pecados
"Ema'enãngatu xe ri, xe mbo'are'ym-uká","Vela bem por mim, mandando que não me façam cair","Lembra-te muito de mim, querendo que não me derram"
Xe mene'õ,Eu enviuvei,Eu sou calvo
nãmo-nhõta'ub,pequeno como isto,por pouco tempo
Xe membyrakyrar,Abortei meu filho,Eu sou um enforcador
T'asó aîpó nhe'enga mopó,Hei de ir para cumprir essas palavras,Hei de levar essas palavras
N'i rambûé-mirĩî xûé aîpó tekorama resé xe nhe'engane,Não se hão de esvanecer nem um pouco minhas palavras acerca daqueles futuros fatos,Não me importa muito que eu esteja com aquela morte
"Xe moory-katu îepé, inã tekó mombegûabo","Tu me alegras muito, narrando assim os fatos","Se me importam muito, assim é como se me importassem"
Asé rarõanamo-tepe karaibebé rekóû?,Mas os guardiães da gente são os anjos?,Por acaso os anjos vivem sempre?
Ebapó ta peîkó pe îebyragûama resé ixé nde momorandube'yma pukuî,Ali ficai enquanto eu não vos informar acerca de vossa futura volta,"Eis que eu não te agradezco, não obstante vosso desejo"
ypypûera,resto do tronco de árvore que fica na terra após o seu corte,o que está no meio da água
Setá nhẽ ygasabusu,São muitas as grandes igaçabas,São muito grandes os jaçubas
Xe tekokuabar,Eu retomei o bom senso,Eu sou um espião
Setápe asé nhemongaraíbi?,A gente se batiza muitas vezes?,Vocês são os que a gente confessa?
Xe rekosûé-katu,Eu sou muito longevo,Eu sou muito coizoso
T'oropyk,Hei de cobrir-te,Hei de ir
"Nd'e'i te'e oîoepîaka'upa, o karukasyramo","Por isso mesmo, tendo saudades um do outro, ficam tristes","Por isso mesmo se honra, sendo seu virtuoso"
N'asepîake'ym-a'ubi,Faço que não o vejo,Não tenho palavras parecidas com ele
Xe nhe'ẽpokarugûá-katu,Eu sou muito manhoso em palavras,Eu tenho muito enforcamento
Oré pysyrõ-te îepé mba'e-aíba suí,Mas livra-nos tu das coisas más,Nós ficamos aflitos de coisas boas
A'ereme amõ aîukáne,Então matarei alguns,"Depois disso, de fato, vou"
Xe îá-xe îaó,"Eu estou chagado, eu tenho muitas chagas","Eu sou grande, de fato"
Oroerokûaka'ar,Levamo-los uns atrás dos outros,Nós nos encontrámos
xe rerokarûera,meu padrinho,minha companheira
Sekó-te i poxyeté,Mas sua vida é muito má,São muitos os que são maus
Aîukámo mã!,"Ah, quem me dera o tivesse matado!","Ah, oxalá eu o fiz!"
Ké turi îandé nupãmo!,Aqui vêm para nos castigar!,"Ah, aqui estamos para nos proteger!"
Aîtyk nhe'enga sesé,Lanço palavras contra ele,Aproximei-me das palavras dele
abá-ekoate'yme'yma,homem liberal,homem maleducado
"Yby abé a'ereme onhemonguébo, oryryîane","A terra também, então, agitando-se, tremendo","O chão também se encheu, aterrorizando-se"
Xe boîá,"Eu sou mediano, eu não sou grande nem pequeno",Eu sou grande
Asó-asó-a'ub,Finjo que vou,Levo-lhe a cabeça
gûymaenhẽ gûixóbo,indo eu voando,"depressa, depressa"
pé pukuî,"ao longo do caminho, todo o caminho",pelo caminho
Eîembo'ebo,Ensinando tu a ti mesmo,Seguei-o
Ikó aoba niã aûîé-katutenhẽ Tupãnemendarama,"Eis que esta roupa será, adequadamente, de feriado","Esse mundo é, de fato, muito belo, o lugar em que Deus dá vida"
aani-xûé ipóne,não há de ser,"por ali, por ali"
Eteumẽ kori marana rerekóbo xe resé,"Guarda-te, hoje, de ter guerra comigo",Guarda-te hoje de ter medo de mim
Aretéreme i porabyky-potaryba'e mborypara,O que tolera o que quer trabalhar nos feriados,Envolvemos os que são maus aos que são maus
ahẽ pûapẽ-mbora,"a unhada de fulano, a marca das unhas de fulano","o que está a pecar, o que está a pecar"
T'okaî nde ratá pupé,Que queimem em teu fogo,Que chegue para teu fogo
Mba'epe ké kanindé-oby îasûara?,Que há aqui semelhante a um canindé azul?,Que aqui está a dança da canindé?
Nd'a'éî saûsupa ranhẽ,Não o amo ainda,Não quero amar-vos primeiro
xe 'anga moingó-katûabo!,fazendo estar bem minha alma!,oxalá minha alma se fizesse correr bem!
Iîamuru senonhana!,Ainda bem que o faz correr consigo!,"Enfim, quererei fazê-lo!"
Aîpepó-'ok,Arranquei as penas de sua asa,Arranquei-lhe a cabeça
Pilatos ybyrarerekoara supé i popûasaba resebé serasóû,"Levaram-no, com suas ataduras, para Pilatos, o governador","Ao vir o Pilatos para seu próximo, querendo que ele o conheça"
kunumĩ-etá,muitos meninos,mensa nova
Oré rerekomemûãsara supé oré nhyrõ îabé,Como o nosso perdão aos que nos tratam mal,Para nos honrarmos com o que nos honra a nós próprios
O'u-eté-eté ahẽ mba'e,Ele comeu demais aquela coisa,É muito mau que se fizesse algo
"Na pe apysáî, îandu, ikó taba apamonana","Não tendes ouvidos, como de costume, confundindo esta aldeia","Não vos alegram, diabão, esta aldeia serve"
Tekó-katu arekó,Tenho vida boa,Estou muito bem
Gûyrasapukaîa îabé ereîetu'u,Como um galo te deitas,Assim como o pássaro te matas
